sn,object type,object,time,Capacity usage(%),Mapped LUN capacity(MB),Total capacity(MB),Used capacity(MB),array_num
20231121131239,Array,System,2022-12-02,36.73491994102007,,3619711450.449219,1329698103.418457,Array2
20231121131239,Array,System,2022-12-03,36.72692845890273,,3619711450.449219,1329408834.825195,Array2
20231121131239,Array,System,2022-12-04,36.58799361510232,,3619711450.449219,1324379794.375488,Array2
20231121131239,Array,System,2022-12-05,36.46999852210782,,3619711450.449219,1320108712.483398,Array2
20231121131239,Array,System,2022-12-06,36.51187721947523,,3619711450.449219,1321624600.487305,Array2
20231121131239,Array,System,2022-12-07,36.71979319244117,,3619711450.449219,1329150558.768066,Array2
20231121131239,Array,System,2022-12-08,36.8446266480785,,3619711450.449219,1333669169.655762,Array2
20231121131239,Array,System,2022-12-09,36.89891498926665,,3619711450.449219,1335634250.958008,Array2
20231121131239,Array,System,2022-12-10,37.57939981927955,,3619711450.449219,1360265838.268555,Array2
20231121131239,Array,System,2022-12-11,37.68404387774001,,3619711450.449219,1364053651.234863,Array2
20231121131239,Array,System,2022-12-12,37.68800079263029,,3619711450.449219,1364196880.136231,Array2
20231121131239,Array,System,2022-12-13,37.744388212956366,,3619711450.449219,1366237942.046387,Array2
20231121131239,Array,System,2022-12-14,38.0621518005053,,3619711450.449219,1377740067.010254,Array2
20231121131239,Array,System,2022-12-15,38.3250014685246,,3619711450.449219,1387254466.541016,Array2
20231121131239,Array,System,2022-12-16,38.92325672412124,,3619711450.449219,1408909580.530762,Array2
20231121131239,Array,System,2022-12-17,39.211062597272125,,3619711450.449219,1419327322.67627,Array2
20231121131239,Array,System,2022-12-18,39.24822542747636,,3619711450.449219,1420672509.896484,Array2
20231121131239,Array,System,2022-12-19,39.320555143357126,,3619711450.449219,1423290636.904297,Array2
20231121131239,Array,System,2022-12-20,39.53151386952973,,3619711450.449219,1430926734.071289,Array2
20231121131239,Array,System,2022-12-21,39.761617372630106,,3619711450.449219,1439255816.920898,Array2
20231121131239,Array,System,2022-12-22,39.64891966958213,,3619711450.449219,1435176485.259277,Array2
20231121131239,Array,System,2022-12-23,39.8682660409678,,3619711450.449219,1443116190.980469,Array2
20231121131239,Array,System,2022-12-24,39.67115069265432,,3619711450.449219,1435981184.146973,Array2
20231121131239,Array,System,2022-12-25,39.329627118654265,,3619711450.449219,1423619016.23291,Array2
20231121131239,Array,System,2022-12-26,39.07440111940808,,3619711450.449219,1414380571.513672,Array2
20231121131239,Array,System,2022-12-27,38.75197875515181,,3619711450.449219,1402709812.275879,Array2
20231121131239,Array,System,2022-12-28,38.79407936294493,,3619711450.449219,1404233732.796875,Array2
20231121131239,Array,System,2022-12-29,39.00285327207241,,3619711450.449219,1411790745.891113,Array2
20231121131239,Array,System,2022-12-30,38.8900941587562,,3619711450.449219,1407709191.354981,Array2
20231121131239,Array,System,2022-12-31,38.789840039777495,,3619711450.449219,1404080281.530762,Array2
20231121131239,Array,System,2023-01-01,38.7515125214026,,3619711450.449219,1402692935.959473,Array2
20231121131239,Array,System,2023-01-02,38.73600386746304,,3619711450.449219,1402131567.437012,Array2
20231121131239,Array,System,2023-01-03,38.73814512661845,,3619711450.449219,1402209074.839844,Array2
20231121131239,Array,System,2023-01-04,38.69073918421982,,3619711450.449219,1400493116.514648,Array2
20231121131239,Array,System,2023-01-05,38.6770684180186,,3619711450.449219,1399998274.225098,Array2
20231121131239,Array,System,2023-01-06,38.68736052736885,,3619711450.449219,1400370818.885742,Array2
20231121131239,Array,System,2023-01-07,38.70420284332701,,3619711450.449219,1400980462.125,Array2
20231121131239,Array,System,2023-01-08,38.72106892504563,,3619711450.449219,1401590965.616211,Array2
20231121131239,Array,System,2023-01-09,38.7364921770342,,3619711450.449219,1402149242.834473,Array2
20231121131239,Array,System,2023-01-10,38.79186329176296,,3619711450.449219,1404153517.414551,Array2
20231121131239,Array,System,2023-01-11,38.73428930520048,,3619711450.449219,1402069505.230469,Array2
20231121131239,Array,System,2023-01-12,38.628209075525305,,3619711450.449219,1398229707.010254,Array2
20231121131239,Array,System,2023-01-13,38.61701753496624,,3619711450.449219,1397824605.535156,Array2
20231121131239,Array,System,2023-01-14,37.81583783262514,,3619711450.449219,1368824212.11084,Array2
20231121131239,Array,System,2023-01-15,37.717401692719655,,3619711450.449219,1365261107.883301,Array2
20231121131239,Array,System,2023-01-16,37.644884142838286,,3619711450.449219,1362636181.82666,Array2
20231121131239,Array,System,2023-01-17,37.72020528201571,,3619711450.449219,1365362589.726074,Array2
20231121131239,Array,System,2023-01-18,37.71194061091725,,3619711450.449219,1365063432.479981,Array2
20231121131239,Array,System,2023-01-19,37.72218587996241,,3619711450.449219,1365434281.656738,Array2
20231121131239,Array,System,2023-01-20,37.75939909273552,,3619711450.449219,1366781292.580566,Array2
20231121131239,Array,System,2023-01-21,37.41616836006777,,3619711450.449219,1354357330.448731,Array2
20231121131239,Array,System,2023-01-22,35.277303429530704,,3619711450.449219,1276936591.648438,Array2
20231121131239,Array,System,2023-01-23,34.830790704427265,,3619711450.449219,1260774119.410156,Array2
20231121131239,Array,System,2023-01-24,34.91774122310658,,3619711450.449219,1263921477.291016,Array2
20231121131239,Array,System,2023-01-25,34.90325466088627,,3619711450.449219,1263397105.539551,Array2
20231121131239,Array,System,2023-01-26,34.576529595385416,,3619711450.449219,1251570600.932129,Array2
20231121131239,Array,System,2023-01-27,31.46237277098645,,3619711450.449219,1138847109.774414,Array2
20231121131239,Array,System,2023-01-28,31.95036702691757,,3619711450.449219,1156511093.733887,Array2
20231121131239,Array,System,2023-01-29,31.8146360688694,,3619711450.449219,1151598024.703613,Array2
20231121131239,Array,System,2023-01-30,31.66430555772021,,3619711450.449219,1146156493.978027,Array2
20231121131239,Array,System,2023-01-31,29.76208868968442,,3619711450.449219,1077301732.193359,Array2
20231121131239,Array,System,2023-02-01,29.65706483032088,,3619711450.449219,1073500171.530273,Array2
20231121131239,Array,System,2023-02-02,30.29168879360013,,3619711450.449219,1096471727.796387,Array2
20231121131239,Array,System,2023-02-03,30.02829873163156,,3619711450.449219,1086937767.563965,Array2
20231121131239,Array,System,2023-02-04,30.012005479976708,,3619711450.449219,1086347998.868164,Array2
20231121131239,Array,System,2023-02-05,29.877637837257137,,3619711450.449219,1081484277.918945,Array2
20231121131239,Array,System,2023-02-06,29.76595045599584,,3619711450.449219,1077441516.990723,Array2
20231121131239,Array,System,2023-02-07,30.008409439360573,,3619711450.449219,1086217832.574219,Array2
20231121131239,Array,System,2023-02-08,29.968594398642,,3619711450.449219,1084776642.986328,Array2
20231121131239,Array,System,2023-02-09,30.105975534909035,,3619711450.449219,1089749443.706543,Array2
20231121131239,Array,System,2023-02-10,30.13215545457328,,3619711450.449219,1090697081.256348,Array2
20231121131239,Array,System,2023-02-11,30.199258245850512,,3619711450.449219,1093126008.675781,Array2
20231121131239,Array,System,2023-02-12,30.15901638918072,,3619711450.449219,1091669369.582031,Array2
20231121131239,Array,System,2023-02-13,30.162848550595942,,3619711450.449219,1091808082.767578,Array2
20231121131239,Array,System,2023-02-14,30.13783882810932,,3619711450.449219,1090902802.979004,Array2
20231121131239,Array,System,2023-02-15,30.405453034217405,,3619711450.449219,1100589665.040527,Array2
20231121131239,Array,System,2023-02-16,30.82390705816584,,3619711450.449219,1115736493.260254,Array2
20231121131239,Array,System,2023-02-17,30.934578635639504,,3619711450.449219,1119742485.022461,Array2
20231121131239,Array,System,2023-02-18,30.83696611376543,,3619711450.449219,1116209193.391113,Array2
20231121131239,Array,System,2023-02-19,30.874501993711487,,3619711450.449219,1117567883.935547,Array2
20231121131239,Array,System,2023-02-20,30.863766819812472,,3619711450.449219,1117179301.616699,Array2
20231121131239,Array,System,2023-02-21,30.759881589831664,,3619711450.449219,1113418956.051758,Array2
20231121131239,Array,System,2023-02-22,30.62827846771863,,3619711450.449219,1108655302.771484,Array2
20231121131239,Array,System,2023-02-23,30.50781745988051,,3619711450.449219,1104294961.877441,Array2
20231121131239,Array,System,2023-02-24,30.376082391107,,3619711450.449219,1099526532.508789,Array2
20231121131239,Array,System,2023-02-25,30.26799728117094,,3619711450.449219,1095614163.408203,Array2
20231121131239,Array,System,2023-02-26,30.19435143310256,,3619711450.449219,1092948396.212891,Array2
20231121131239,Array,System,2023-02-27,30.20364449349689,,3619711450.449219,1093284778.184082,Array2
20231121131239,Array,System,2023-02-28,30.2668678589302,,3619711450.449219,1095573281.582031,Array2
20231121131239,Array,System,2023-03-01,30.325150215012428,,3619711450.449219,1097682934.698731,Array2
20231121131239,Array,System,2023-03-02,30.345168807127173,,3619711450.449219,1098407549.969727,Array2
20231121131239,Array,System,2023-03-03,30.293082108231104,,3619711450.449219,1096522161.765625,Array2
20231121131239,Array,System,2023-03-04,30.21944747092823,,3619711450.449219,1093856800.367676,Array2
20231121131239,Array,System,2023-03-05,30.261221493345577,,3619711450.449219,1095368899.44043,Array2
20231121131239,Array,System,2023-03-06,30.32210406873596,,3619711450.449219,1097572672.993164,Array2
20231121131239,Array,System,2023-03-07,30.51418260499975,,3619711450.449219,1104525361.76416,Array2
20231121131239,Array,System,2023-03-08,30.30177840625975,,3619711450.449219,1096836942.661133,Array2
20231121131239,Array,System,2023-03-09,30.34235784125575,,3619711450.449219,1098305801.116211,Array2
20231121131239,Array,System,2023-03-10,30.492850664688905,,3619711450.449219,1103753207.078125,Array2
20231121131239,Array,System,2023-03-11,30.691372366915115,,3619711450.449219,1110939119.865234,Array2
20231121131239,Array,System,2023-03-12,30.886346076545923,,3619711450.449219,1117996605.558106,Array2
20231121131239,Array,System,2023-03-13,31.03657055454049,,3619711450.449219,1123434298.189453,Array2
20231121131239,Array,System,2023-03-14,31.202454925383726,,3619711450.449219,1129438833.755371,Array2
20231121131239,Array,System,2023-03-15,31.37814629103641,,3619711450.449219,1135798354.235352,Array2
20231121131239,Array,System,2023-03-16,31.50633195174697,,3619711450.449219,1140438305.273926,Array2
20231121131239,Array,System,2023-03-17,31.722200882145582,,3619711450.449219,1148252137.665527,Array2
20231121131239,Array,System,2023-03-18,32.14724719514975,,3619711450.449219,1163637587.727051,Array2
20231121131239,Array,System,2023-03-19,32.31416359104836,,3619711450.449219,1169679479.62207,Array2
20231121131239,Array,System,2023-03-20,32.51560099880522,,3619711450.449219,1176970932.536133,Array2
20231121131239,Array,System,2023-03-21,32.732265416836704,,3619711450.449219,1184813559.284668,Array2
20231121131239,Array,System,2023-03-22,32.85921388199198,,3619711450.449219,1189408727.414063,Array2
20231121131239,Array,System,2023-03-23,32.96212217779652,,3619711450.449219,1193133710.780762,Array2
20231121131239,Array,System,2023-03-24,33.199332416780166,,3619711450.449219,1201720036.962891,Array2
20231121131239,Array,System,2023-03-25,33.39215829535631,,3619711450.449219,1208699777.369141,Array2
20231121131239,Array,System,2023-03-26,33.49216930856095,,3619711450.449219,1212319887.46582,Array2
20231121131239,Array,System,2023-03-27,33.64299767817996,,3619711450.449219,1217779439.231445,Array2
20231121131239,Array,System,2023-03-28,33.977899831912175,,3619711450.449219,1229901930.837891,Array2
20231121131239,Array,System,2023-03-29,34.2213140820126,,3619711450.449219,1238712824.320801,Array2
20231121131239,Array,System,2023-03-30,34.669496953205424,,3619711450.449219,1254935751.02832,Array2
20231121131239,Array,System,2023-03-31,34.71329462077344,,3619711450.449219,1256521100.216309,Array2
20231121131239,Array,System,2023-04-01,34.8503152457555,,3619711450.449219,1261480851.468262,Array2
20231121131239,Array,System,2023-04-02,34.839801012791334,,3619711450.449219,1261100266.573731,Array2
20231121131239,Array,System,2023-04-03,34.77538514073367,,3619711450.449219,1258768597.876953,Array2
20231121131239,Array,System,2023-04-04,35.012311379705224,,3619711450.449219,1267344644.078125,Array2
20231121131239,Array,System,2023-04-05,35.62425841628086,,3619711450.449219,1289495361.031738,Array2
20231121131239,Array,System,2023-04-06,35.91266879979291,,3619711450.449219,1299934984.708008,Array2
20231121131239,Array,System,2023-04-07,36.31538597744724,,3619711450.449219,1314512184.500488,Array2
20231121131239,Array,System,2023-04-08,36.13695167626168,,3619711450.449219,1308053377.668945,Array2
20231121131239,Array,System,2023-04-09,36.20678475648312,,3619711450.449219,1310581133.669922,Array2
20231121131239,Array,System,2023-04-10,36.34544683569576,,3619711450.449219,1315600300.828613,Array2
20231121131239,Array,System,2023-04-11,36.53891223791798,,3619711450.449219,1322603190.145508,Array2
20231121131239,Array,System,2023-04-12,36.55233578149586,,3619711450.449219,1323089083.689453,Array2
20231121131239,Array,System,2023-04-13,36.58260816764687,,3619711450.449219,1324184856.717285,Array2
20231121131239,Array,System,2023-04-14,36.56555083168998,,3619711450.449219,1323567430.374512,Array2
20231121131239,Array,System,2023-04-15,36.45579601670394,,3619711450.449219,1319594622.769043,Array2
20231121131239,Array,System,2023-04-16,36.24471361861805,,3619711450.449219,1311954049.035645,Array2
20231121131239,Array,System,2023-04-17,36.17767988023794,,3619711450.449219,1309527621.131836,Array2
20231121131239,Array,System,2023-04-18,36.13725198013777,,3619711450.449219,1308064247.802734,Array2
20231121131239,Array,System,2023-04-19,36.15065867785675,,3619711450.449219,1308549531.575195,Array2
20231121131239,Array,System,2023-04-20,36.107943567228354,,3619711450.449219,1307003367.824707,Array2
20231121131239,Array,System,2023-04-21,35.96906758706604,,3619711450.449219,1301976458.068848,Array2
20231121131239,Array,System,2023-04-22,35.791396838277734,,3619711450.449219,1295545289.630859,Array2
20231121131239,Array,System,2023-04-23,35.70349918661765,,3619711450.449219,1292363648.269043,Array2
20231121131239,Array,System,2023-04-24,35.71959741996249,,3619711450.449219,1292946357.864746,Array2
20231121131239,Array,System,2023-04-25,35.85166362445991,,3619711450.449219,1297726773.391113,Array2
20231121131239,Array,System,2023-04-26,35.979477539594306,,3619711450.449219,1302353268.3125,Array2
20231121131239,Array,System,2023-04-27,36.49010270213993,,3619711450.449219,1320836425.790039,Array2
20231121131239,Array,System,2023-04-28,36.69476952559429,,3619711450.449219,1328244774.233887,Array2
20231121131239,Array,System,2023-04-29,37.13924193834316,,3619711450.449219,1344333393.052246,Array2
20231121131239,Array,System,2023-04-30,37.95785184049754,,3619711450.449219,1373964709.415039,Array2
20231121131239,Array,System,2023-05-01,38.01840974893599,,3619711450.449219,1376156730.960938,Array2
20231121131239,Array,System,2023-05-02,38.07459550769332,,3619711450.449219,1378190493.304199,Array2
20231121131239,Array,System,2023-05-03,38.07672915732307,,3619711450.449219,1378267725.26416,Array2
20231121131239,Array,System,2023-05-04,37.56102320818762,,3619711450.449219,1359600657.972656,Array2
20231121131239,Array,System,2023-05-05,37.66259053662284,,3619711450.449219,1363277102.189941,Array2
20231121131239,Array,System,2023-05-06,37.75232202107528,,3619711450.449219,1366525123.007324,Array2
20231121131239,Array,System,2023-05-07,37.764108366996254,,3619711450.449219,1366951754.720215,Array2
